time,X (m/s),Y (m/s),Yaw (rad)
114790,-667.513732670945,966.731468944096,4.48036806339698
114800,-667.551384352013,966.569684710856,4.48076053635074
114810,-667.588972445912,966.40788511449,4.48115312110718
114820,-667.626496949636,966.246070182215,4.48154581497628
114830,-667.663957872112,966.084239943226,4.48193859481517
114840,-667.701355275821,965.922394439144,4.48233145823004
114850,-667.738689140823,965.760533693248,4.48272439672915
114860,-667.77595946187,965.5986577313,4.48311738325177
114870,-667.813166294717,965.436766593072,4.48351041431578
114880,-667.850309613403,965.274860300297,4.48390348129325
114890,-667.887389411167,965.112938878078,4.48429655669559
114900,-667.924405748968,964.951002366945,4.48468963841088
114910,-667.961358676403,964.789050806585,4.48508268399786
114920,-667.998248625714,964.627084324674,4.48547554546849
114930,-668.035075637887,964.465102953205,4.4858682011699
114940,-668.071839711905,964.303106718543,4.48626063606733
114950,-668.108540869754,964.141095651026,4.48665283062641
114960,-668.145179159188,963.979069786848,4.48704476055393
114970,-668.181754650744,963.817029167206,4.48743639772773
114980,-668.218267427582,963.654973836104,4.4878277130043
114990,-668.254717575041,963.492903838025,4.48821867910764
115000,-668.291105170989,963.330819215826,4.48860927345171
115010,-668.327430277263,963.168720008879,4.48899948084122
115020,-668.36369293227,963.00660625148,4.48938929601081
115030,-668.399893144648,962.844477971501,4.48977872596586
115040,-668.43603088785,962.682335189241,4.49016779209879
115050,-668.472106095759,962.520177916501,4.49055653192796
115060,-668.508118664843,962.35800615699,4.49094499836581
115070,-668.544068468632,962.195819909445,4.49133325493214
115080,-668.579955374151,962.033619171268,4.49172137007546
115090,-668.615779255943,961.8714039416,4.49210941173631
115100,-668.651540007701,961.70917422385,4.49249744227367
115110,-668.687237551689,961.54693002772,4.49288551389797
115120,-668.722871842217,961.384671369981,4.49327366616439
115130,-668.758442858976,961.222398273011,4.49366192681225
115140,-668.793950598141,961.060110762819,4.49405031361059
115150,-668.829395064876,960.897808867387,4.49443883632015
115160,-668.86477626741,960.735492615364,4.49482749865717
115170,-668.900094212614,960.573162035104,4.49521630017567
115180,-668.935348903619,960.410817154124,4.49560523772514
115190,-668.970540340149,960.248457999164,4.49599430618292
115200,-669.005668519821,960.086084596456,4.49638349890022
115210,-669.04073343946,959.923696972002,4.49677280804124
115220,-669.075735096222,959.761295151805,4.49716222483979
115230,-669.110673488544,959.598879162067,4.49755173975988
115240,-669.145548617644,959.436449029497,4.49794134229282
115250,-669.180360490675,959.274004781963,4.4983310201052
115260,-669.215109124041,959.111546449185,4.4987207580296
